re_route_every_ticks,result
1,1.9912199219678488
3,1.9531867438654216
5,2.0036442138629917
7,2.00218270700638
9,2.0083275040022253
11,1.9982174988472206
13,1.9814081987310583
15,1.9578874298114857
17,1.9657054416463597
19,2.0166752229636273
21,1.9563838413178543
23,1.9515950597455594
25,1.9471524715796558
27,1.9846662297413593
29,2.013521653566581
31,1.9754035753714354
33,2.0081732911146233
35,1.9850402441509762
37,1.9915473463168851
39,1.9570529835875554
41,1.9793210376875061
43,2.0134649139598673
45,2.072999294389932
47,1.999831405905576
49,2.074435051437566
51,1.9985262527851975
53,1.9965089127985702
55,2.004233513255157
57,2.0181398822018406
59,1.998846611327992
61,1.9944264687610689
63,2.03032105489828
65,2.024695389503059
67,1.9835984996311218
69,2.03213419049655
71,2.0194624653185294
73,2.0556369378230355
75,2.0751155415912317
77,2.0560002061877216
79,2.0556495228648486
81,2.0119063139327777
83,2.054921660696567
85,2.1075612217775785
87,2.0411914846237305
89,2.012417772900531
91,2.0700647654375675
93,2.0610924870069995
95,2.0447121158322434
97,2.0834396154740515
99,2.109373529682236
